n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,5,4,4,Fail,Fail,True,0.0035860999996657483
10,5,4,5,Decrypt,Decrypt,True,0.004884599999058992
10,5,4,6,Decrypt,Decrypt,True,0.006297300002188422
10,5,4,7,Decrypt,Decrypt,True,0.007808599999407306
10,5,4,8,Decrypt,Decrypt,True,0.009410000002390007
10,5,4,9,Decrypt,Decrypt,True,0.011361200002284022
10,5,4,10,Decrypt,Decrypt,True,0.013476100000843871
10,5,5,0,Fail,Fail,True,7.00001692166552e-07
10,5,5,1,Fail,Fail,True,0.0006050999982107896
10,5,5,2,Fail,Fail,True,0.0015370000000984874
10,5,5,3,Fail,Fail,True,0.002515500000299653
10,5,5,4,Fail,Fail,True,0.003591900000174064
10,5,5,5,Decrypt,Decrypt,True,0.004860900000494439
10,5,5,6,Decrypt,Decrypt,True,0.006175999998959014
10,5,5,7,Decrypt,Decrypt,True,0.008051099997828715
10,5,5,8,Decrypt,Decrypt,True,0.010413800002424978
10,5,5,9,Decrypt,Decrypt,True,0.011524700003064936
10,5,5,10,Decrypt,Decrypt,True,0.013516600000002654
10,5,6,0,Fail,Fail,True,6.000009307172149e-07
10,5,6,1,Fail,Fail,True,0.0006382999999914318
10,5,6,2,Fail,Fail,True,0.001524999999674037
10,5,6,3,Fail,Fail,True,0.002463799999532057
10,5,6,4,Fail,Fail,True,0.0036636000004364178
10,5,6,5,Decrypt,Decrypt,True,0.004882799999904819
10,5,6,6,Decrypt,Decrypt,True,0.006226100002095336
10,5,6,7,Decrypt,Decrypt,True,0.007911599997896701
10,5,6,8,Decrypt,Decrypt,True,0.009576199998264201
10,5,6,9,Decrypt,Decrypt,True,0.011760699999285862
10,5,6,10,Decrypt,Decrypt,True,0.013640599998325342
10,5,7,0,Fail,Fail,True,6.000009307172149e-07
10,5,7,1,Fail,Fail,True,0.000629900001513306
10,5,7,2,Fail,Fail,True,0.0015372999987448566
10,5,7,3,Fail,Fail,True,0.002521900001738686
10,5,7,4,Fail,Fail,True,0.003969400000642054
10,5,7,5,Decrypt,Decrypt,True,0.009008200002426747
10,5,7,6,Decrypt,Decrypt,True,0.007052800003293669
